39
0 8
8 12
20 8
28 12
40 8
48 12
60 12
72 8
80 12
92 8
100 12
112 8
120 12
132 8
140 12
152 8
160 12
172 8
180 12
192 8
200 12
212 8
220 12
232 12
244 8
252 12
264 12
276 8
284 12
296 8
304 12
316 8
324 12
336 12
348 8
356 12
368 12
380 12
392 8
c282 48 125
c283 80 173
c284 60 185
c285 28 203
c286 80 179
c287 28 217
c288 28 189
c289 100 209
c290 28 165
c291 80 187
c292 28 223
c293 60 220
c294 28 235
c295 60 281
c296 28 254
c297 60 289
c298 28 260
c299 48 251
c300 60 244
c301 48 265
c302 40 12
c303 0 24
c304 40 39
c305 0 15
c306 92 43
c307 72 30
c308 72 54
c309 0 81
c310 40 72
c311 40 54
c312 0 57
c313 132 75
c314 72 81
c315 72 60
c316 40 96
c317 72 93
c318 72 75
c319 112 126
c320 112 111
c321 20 149
c322 40 81
c323 72 156
c324 112 117
c325 0 138
c326 72 150
c327 72 153
c328 20 137
c329 20 131
c330 0 117
c331 72 174
c332 40 159
c333 92 165
c334 72 126
c335 20 152
c336 20 109
c337 72 186
c338 92 159
c339 72 231
c340 112 178
c341 92 207
c342 20 183
c343 20 273
c344 152 198
c345 92 216
c346 20 189
c347 112 235
c348 20 236
c349 92 240
c350 20 211
c351 112 241
c352 152 270
c353 72 279
c354 72 294
c355 92 237
c356 40 257
c357 72 285
c358 40 265
c359 40 288
c360 40 279
c361 48 9
c362 28 9
c363 120 0
c364 80 50
c365 28 25
c366 28 34
c367 28 95
c368 28 65
c369 28 57
c370 28 37
c371 60 143
c372 80 54
c373 100 84
c374 80 33
c375 28 101
c376 140 115
c377 100 101
c378 28 137
c379 28 118
c380 80 115
c381 60 182
c382 28 177
c383 60 171
c384 48 202
c385 60 179
c386 80 147
c387 28 183
c388 48 174
c389 60 163
c390 80 247
c391 28 229
c392 80 233
c393 80 244
c394 60 188
c395 60 208
c396 120 228
c397 28 226
c398 28 251
c399 48 233
c400 100 288
c401 48 273
c402 80 277
c403 60 292
c404 60 255
c405 100 3
c406 48 57
c407 140 30
c408 140 3
c409 80 6
c410 80 39
c411 48 20
c412 100 49
c413 160 69
c414 48 113
c415 120 98
c416 80 85
c417 120 112
c418 60 71
c419 100 126
c420 60 135
c421 160 127
c422 80 141
c423 48 148
c424 80 123
c425 28 79
c426 48 134
c427 60 157
c428 60 151
c429 80 163
c430 80 219
c431 80 195
c432 48 177
c433 100 217
c434 120 175
c435 48 239
c436 48 196
c437 48 245
c438 48 216
c439 48 222
c440 48 289
c441 60 261
c442 48 219
c443 48 292
c444 48 281
c445 100 236
c446 80 285
c447 160 253
c448 20 6
c449 72 105
c450 72 9
c451 92 33
c452 172 0
c453 40 18
c454 152 57
c455 40 24
c456 20 71
c457 132 12
c458 72 51
c459 92 59
c460 132 18
c461 92 102
c462 192 77
c463 72 78
c464 152 93
c465 72 144
c466 40 108
c467 72 114
c468 152 81
c469 72 111
c470 152 108
c471 192 130
c472 92 126
c473 152 123
c474 92 151
c475 92 114
c476 72 192
c477 92 189
c478 72 180
c479 40 235
c480 132 165
c481 132 198
c482 92 174
c483 152 168
c484 132 216
c485 132 195
c486 152 183
c487 72 255
c488 72 198
c489 72 210
c490 92 210
c491 132 225
c492 112 197
c493 112 229
c494 72 273
c495 92 246
c496 92 213
c497 112 265
c498 92 243
c499 72 225
c500 132 282
c501 92 252
c502 92 273
c503 20 297
c504 92 279
c505 152 261
c506 160 7
c507 60 -8
c508 48 29
c509 100 35
c510 120 70
c511 48 43
c512 60 101
c513 48 37
c514 80 99
c515 100 55
c516 80 79
c517 140 100
c518 120 116
c519 48 110
c520 120 152
c521 140 118
c522 120 155
c523 80 132
c524 60 154
c525 60 107
c526 140 141
c527 100 228
c528 140 112
c529 80 155
c530 48 166
c531 100 174
c532 120 186
c533 100 206
c534 120 219
c535 48 160
c536 48 185
c537 140 220
c538 48 230
c539 120 211
c540 80 225
c541 60 275
c542 60 252
c543 60 228
c544 100 264
c545 80 253
c546 60 236
c547 100 272
c548 100 22
c549 140 14
c550 100 0
c551 80 71
c552 100 9
c553 140 43
c554 140 80
c555 160 58
c556 48 82
c557 180 148
c558 120 67
c559 100 112
c560 160 102
c561 80 60
c562 120 124
c563 100 138
c564 48 102
c565 120 92
c566 140 167
c567 100 132
c568 120 144
c569 120 200
c570 60 113
c571 60 205
c572 100 190
c573 100 162
c574 100 220
c575 60 191
c576 140 198
c577 160 170
c578 120 222
c579 60 272
c580 160 167
c581 140 251
c582 120 250
c583 120 286
c584 120 242
c585 60 269
c586 100 250
c587 100 294
c588 120 278
c589 160 264
c590 100 280
c591 100 256
c592 112 0
c593 172 18
c594 112 39
c595 172 15
c596 92 18
c597 172 67
c598 92 36
c599 152 3
c600 40 27
c601 152 90
c602 72 12
c603 92 78
c604 152 105
c605 132 81
c606 152 78
c607 132 51
c608 152 99
c609 92 39
c610 112 87
c611 112 139
c612 152 87
c613 112 120
c614 132 84
c615 132 141
c616 192 101
c617 72 96
c618 132 153
c619 72 135
c620 132 210
c621 132 168
c622 152 147
c623 112 172
c624 72 159
c625 132 132
c626 152 180
c627 72 168
c628 172 93
c629 112 165
c630 72 204
c631 212 200
c632 132 237
c633 212 164
c634 192 178
c635 172 177
c636 92 258
c637 152 231
c638 72 213
c639 152 189
c640 92 225
c641 152 279
c642 72 240
c643 92 264
c644 192 276
c645 92 297
c646 92 282
c647 92 285
c648 132 297
c649 60 6
c650 120 8
c651 120 27
c652 80 0
c653 120 16
c654 120 51
c655 100 58
c656 120 35
c657 160 29
c658 100 41
c659 80 63
c660 100 68
c661 120 84
c662 120 78
c663 120 138
c664 140 149
c665 100 150
c666 140 126
c667 100 109
c668 200 103
c669 180 123
c670 100 144
c671 100 168
c672 120 178
c673 100 182
c674 140 204
c675 232 166
c676 220 210
c677 120 256
c678 120 203
c679 100 156
c680 200 246
c681 160 164
c682 100 198
c683 140 232
c684 160 256
c685 140 271
c686 200 272
c687 160 247
c688 140 226
c689 140 257
c690 140 297
c691 180 278
c692 192 15
c693 132 9
c694 192 0
c695 112 30
c696 192 32
c697 112 24
c698 72 39
c699 132 69
c700 172 36
c701 212 18
c702 112 47
c703 172 102
c704 132 147
c705 92 72
c706 112 72
c707 72 84
c708 92 143
c709 92 15
c710 92 84
c711 132 138
c712 172 114
c713 172 135
c714 112 93
c715 40 165
c716 172 90
c717 172 129
c718 92 180
c719 192 157
c720 112 153
c721 172 204
c722 172 198
c723 172 81
c724 152 222
c725 172 207
c726 172 213
c727 112 191
c728 92 186
c729 92 168
c730 172 258
c731 132 207
c732 112 226
c733 172 243
c734 152 213
c735 132 258
c736 132 255
c737 132 252
c738 152 216
c739 152 267
c740 112 271
c741 152 210
c742 152 276
c743 172 297
c744 132 285
c745 112 250
c746 152 255
c747 192 234
c748 132 276
c749 152 0
c750 152 6
c751 132 24
c752 172 3
c753 152 24
c754 112 60
c755 192 6
c756 92 -6
c757 152 69
c758 152 45
c759 152 51
c760 132 99
c761 244 60
c762 244 84
c763 212 74
c764 152 30
c765 192 53
c766 152 66
c767 112 102
c768 132 57
c769 132 189
c770 152 132
c771 72 162
c772 192 118
c773 152 114
c774 192 127
c775 152 141
c776 172 189
c777 212 158
c778 152 144
c779 152 129
c780 132 231
c781 192 142
c782 152 159
c783 152 171
c784 112 220
c785 152 153
c786 92 156
c787 172 264
c788 192 213
c789 132 201
c790 192 252
c791 40 244
c792 172 222
c793 244 234
c794 172 271
c795 152 204
c796 192 264
c797 192 294
c798 212 239
c799 132 243
c800 152 282
c801 112 253
c802 172 246
c803 152 285
c804 92 270
c805 244 30
c806 112 -6
c807 132 3
c808 244 27
c809 172 54
c810 112 6
c811 212 15
c812 132 37
c813 192 50
c814 212 12
c815 152 60
c816 172 72
c817 152 54
c818 192 59
c819 112 63
c820 212 88
c821 132 93
c822 244 123
c823 172 57
c824 212 112
c825 152 126
c826 192 71
c827 112 105
c828 112 162
c829 172 192
c830 172 156
c831 92 87
c832 172 183
c833 132 177
c834 152 150
c835 192 136
c836 172 132
c837 192 193
c838 172 165
c839 192 261
c840 172 219
c841 244 202
c842 152 225
c843 152 207
c844 92 231
c845 212 182
c846 172 285
c847 192 249
c848 172 237
c849 192 255
c850 132 222
c851 132 270
c852 244 240
c853 132 264
c854 192 228
c855 152 297
c856 152 249
c857 112 268
c858 112 291
c859 192 9
c860 112 -12
c861 132 63
c862 172 9
c863 152 42
c864 152 36
c865 244 15
c866 244 135
c867 244 54
c868 152 72
c869 172 78
c870 132 43
c871 92 93
c872 92 99
c873 92 21
c874 152 135
c875 244 108
c876 112 132
c877 172 141
c878 172 108
c879 132 183
c880 172 153
c881 132 90
c882 212 145
c883 192 184
c884 244 138
c885 132 174
c886 212 148
c887 192 160
c888 192 199
c889 172 147
c890 244 180
c891 152 120
c892 172 186
c893 212 118
c894 92 192
c895 192 187
c896 172 171
c897 152 165
c898 172 231
c899 172 225
c900 152 243
c901 244 276
c902 132 240
c903 152 177
c904 192 246
c905 152 195
c906 132 273
c907 112 247
c908 132 291
c909 132 249
c910 152 237
c911 152 291
c912 112 259
c913 172 291
c914 172 294
c915 140 -5
c916 160 -4
c917 140 6
c918 160 52
c919 100 27
c920 200 71
c921 220 26
c922 180 14
c923 120 59
c924 252 88
c925 160 80
c926 180 120
c927 160 92
c928 200 141
c929 160 89
c930 140 86
c931 120 106
c932 160 121
c933 140 155
c934 140 138
c935 160 143
c936 100 120
c937 140 175
c938 160 135
c939 200 193
c940 140 184
c941 252 212
c942 180 163
c943 232 147
c944 200 179
c945 252 164
c946 200 207
c947 160 182
c948 100 244
c949 220 236
c950 160 196
c951 120 236
c952 200 252
c953 160 219
c954 160 210
c955 80 269
c956 160 283
c957 180 294
c958 80 291
c959 180 286
c960 120 43
c961 180 4
c962 232 11
c963 264 13
c964 220 73
c965 140 50
c966 200 28
c967 232 67
c968 160 46
c969 160 86
c970 232 95
c971 180 89
c972 200 91
c973 284 63
c974 140 56
c975 160 64
c976 160 32
c977 180 92
c978 140 132
c979 252 158
c980 252 135
c981 264 130
c982 120 169
c983 220 141
c984 180 151
c985 160 161
c986 200 156
c987 180 154
c988 200 185
c989 140 164
c990 180 160
c991 160 158
c992 120 161
c993 180 206
c994 180 175
c995 160 216
c996 180 248
c997 180 226
c998 200 269
c999 140 195
c1000 120 192
c1001 140 243
c1002 160 235
c1003 160 199
c1004 220 277
c1005 140 285
c1006 220 293
c1007 160 297
c1008 200 288
c1009 220 194
c1010 220 239
c1011 252 6
c1012 160 4
c1013 232 14
c1014 200 14
c1015 200 65
c1016 252 52
c1017 220 100
c1018 252 61
c1019 220 94
c1020 200 22
c1021 200 47
c1022 200 97
c1023 252 70
c1024 220 29
c1025 220 43
c1026 232 70
c1027 200 109
c1028 180 83
c1029 220 125
c1030 200 218
c1031 140 181
c1032 180 114
c1033 252 123
c1034 252 138
c1035 200 215
c1036 200 172
c1037 220 177
c1038 220 164
c1039 220 222
c1040 200 199
c1041 160 146
c1042 140 212
c1043 252 209
c1044 140 263
c1045 180 270
c1046 200 249
c1047 140 254
c1048 160 241
c1049 252 258
c1050 220 253
c1051 160 289
c1052 264 297
c1053 200 294
c1054 180 264
c1055 252 294
c1056 140 288
c1057 160 176
c1058 264 -14
c1059 232 3
c1060 220 67
c1061 160 21
c1062 220 6
c1063 220 37
c1064 232 47
c1065 200 34
c1066 180 134
c1067 180 57
c1068 252 103
c1069 200 79
c1070 232 87
c1071 200 85
c1072 160 40
c1073 252 129
c1074 160 113
c1075 220 88
c1076 252 97
c1077 140 161
c1078 180 131
c1079 140 135
c1080 180 137
c1081 252 144
c1082 160 152
c1083 180 169
c1084 252 170
c1085 304 192
c1086 180 203
c1087 252 229
c1088 160 202
c1089 252 226
c1090 180 178
c1091 180 187
c1092 252 215
c1093 180 223
c1094 220 203
c1095 264 249
c1096 160 275
c1097 252 247
c1098 284 267
c1099 232 242
c1100 180 256
c1101 200 297
c1102 220 285
c1103 192 23
c1104 244 0
c1105 296 21
c1106 212 0
c1107 132 0
c1108 212 80
c1109 212 24
c1110 192 86
c1111 212 65
c1112 244 42
c1113 192 92
c1114 172 39
c1115 192 104
c1116 276 16
c1117 244 39
c1118 244 93
c1119 244 72
c1120 244 45
c1121 276 114
c1122 192 38
c1123 244 102
c1124 212 106
c1125 276 111
c1126 244 129
c1127 192 65
c1128 212 125
c1129 276 138
c1130 192 166
c1131 244 117
c1132 244 114
c1133 172 162
c1134 212 176
c1135 212 173
c1136 276 180
c1137 276 192
c1138 296 186
c1139 192 207
c1140 244 171
c1141 192 169
c1142 192 225
c1143 212 194
c1144 212 227
c1145 276 204
c1146 212 236
c1147 244 288
c1148 192 270
c1149 192 202
c1150 192 240
c1151 212 288
c1152 212 268
c1153 244 258
c1154 192 297
c1155 172 279
c1156 244 270
c1157 276 282
c1158 192 288
c1159 212 297
c1160 212 291
c1161 244 3
c1162 276 25
c1163 172 61
c1164 244 36
c1165 244 9
c1166 172 45
c1167 192 44
c1168 152 18
c1169 212 30
c1170 244 78
c1171 276 10
c1172 244 66
c1173 296 105
c1174 244 147
c1175 192 95
c1176 192 121
c1177 276 45
c1178 276 72
c1179 172 120
c1180 192 26
c1181 172 126
c1182 172 99
c1183 244 144
c1184 296 117
c1185 244 183
c1186 192 83
c1187 212 151
c1188 276 96
c1189 276 156
c1190 276 117
c1191 296 144
c1192 192 175
c1193 212 122
c1194 276 159
c1195 212 188
c1196 212 221
c1197 244 174
c1198 276 174
c1199 212 206
c1200 212 218
c1201 276 216
c1202 244 246
c1203 276 201
c1204 276 246
c1205 244 214
c1206 212 258
c1207 316 236
c1208 276 297
c1209 192 282
c1210 212 274
c1211 212 231
c1212 212 271
c1213 276 255
c1214 244 282
c1215 212 284
c1216 244 255
c1217 152 273
c1218 192 285
c1219 244 294
c1220 220 18
c1221 252 46
c1222 220 12
c1223 220 58
c1224 284 32
c1225 304 120
c1226 180 75
c1227 220 46
c1228 200 115
c1229 252 94
c1230 252 64
c1231 180 106
c1232 160 110
c1233 284 52
c1234 252 79
c1235 232 78
c1236 200 59
c1237 220 79
c1238 220 119
c1239 200 160
c1240 304 166
c1241 200 150
c1242 200 118
c1243 252 203
c1244 264 214
c1245 252 195
c1246 304 242
c1247 284 165
c1248 284 233
c1249 200 238
c1250 252 181
c1251 200 280
c1252 200 230
c1253 140 279
c1254 252 187
c1255 220 261
c1256 252 255
c1257 200 266
c1258 264 257
c1259 180 267
c1260 252 280
c1261 252 286
c1262 264 3
c1263 252 40
c1264 252 26
c1265 252 32
c1266 200 0
c1267 284 9
c1268 284 49
c1269 200 39
c1270 252 111
c1271 284 88
c1272 232 131
c1273 284 91
c1274 252 76
c1275 180 38
c1276 284 66
c1277 264 110
c1278 220 128
c1279 284 94
c1280 232 139
c1281 200 167
c1282 232 119
c1283 252 167
c1284 264 104
c1285 284 162
c1286 180 181
c1287 264 138
c1288 264 172
c1289 252 147
c1290 180 140
c1291 284 187
c1292 252 218
c1293 284 134
c1294 324 236
c1295 160 227
c1296 200 263
c1297 232 210
c1298 264 240
c1299 200 224
c1300 252 266
c1301 160 272
c1302 220 269
c1303 284 259
c1304 200 255
c1305 264 267
c1306 304 269
c1307 220 52
c1308 232 0
c1309 284 -8
c1310 336 42
c1311 324 8
c1312 264 75
c1313 304 52
c1314 284 114
c1315 220 64
c1316 304 61
c1317 232 84
c1318 252 85
c1319 200 100
c1320 284 82
c1321 252 117
c1322 252 55
c1323 220 134
c1324 200 53
c1325 284 120
c1326 252 161
c1327 220 85
c1328 264 161
c1329 284 128
c1330 252 150
c1331 284 211
c1332 284 140
c1333 180 184
c1334 336 193
c1335 324 158
c1336 264 192
c1337 232 219
c1338 220 228
c1339 232 172
c1340 252 235
c1341 252 178
c1342 284 179
c1343 264 226
c1344 284 239
c1345 284 253
c1346 264 186
c1347 252 274
c1348 284 292
c1349 264 294
c1350 160 188
c1351 252 241
c1352 264 278
c1353 252 18
c1354 304 27
c1355 264 10
c1356 304 35
c1357 252 12
c1358 252 0
c1359 304 55
c1360 304 15
c1361 264 57
c1362 264 17
c1363 180 98
c1364 356 74
c1365 284 100
c1366 264 72
c1367 336 119
c1368 232 125
c1369 264 144
c1370 264 180
c1371 284 74
c1372 324 170
c1373 232 155
c1374 200 126
c1375 264 124
c1376 264 169
c1377 264 158
c1378 232 180
c1379 356 194
c1380 264 198
c1381 324 179
c1382 232 158
c1383 220 159
c1384 304 178
c1385 264 243
c1386 304 211
c1387 232 225
c1388 324 190
c1389 304 258
c1390 284 225
c1391 284 286
c1392 324 261
c1393 304 222
c1394 336 294
c1395 232 273
c1396 264 286
c1397 276 3
c1398 296 15
c1399 316 0
c1400 212 6
c1401 296 27
c1402 316 51
c1403 244 6
c1404 348 41
c1405 392 66
c1406 296 45
c1407 276 19
c1408 276 36
c1409 296 54
c1410 316 75
c1411 276 75
c1412 276 54
c1413 296 78
c1414 348 133
c1415 296 84
c1416 296 60
c1417 276 129
c1418 244 156
c1419 276 84
c1420 276 144
c1421 244 141
c1422 348 172
c1423 316 172
c1424 276 135
c1425 276 165
c1426 316 159
c1427 244 165
c1428 296 202
c1429 244 153
c1430 392 186
c1431 276 171
c1432 276 243
c1433 244 159
c1434 316 242
c1435 276 240
c1436 276 189
c1437 244 222
c1438 244 252
c1439 276 219
c1440 192 219
c1441 276 252
c1442 276 273
c1443 296 235
c1444 276 288
c1445 348 295
c1446 348 283
c1447 348 277
c1448 296 291
c1449 192 273
c1450 276 249
c1451 276 279
c1452 220 0
c1453 284 6
c1454 264 0
c1455 284 -16
c1456 336 3
c1457 264 34
c1458 264 23
c1459 356 71
c1460 264 83
c1461 284 43
c1462 264 66
c1463 284 40
c1464 324 56
c1465 324 48
c1466 284 108
c1467 264 50
c1468 284 117
c1469 324 26
c1470 232 103
c1471 324 138
c1472 264 127
c1473 284 60
c1474 304 80
c1475 304 111
c1476 324 121
c1477 304 140
c1478 324 107
c1479 324 161
c1480 324 130
c1481 304 189
c1482 284 171
c1483 284 247
c1484 284 159
c1485 284 148
c1486 284 195
c1487 368 173
c1488 336 259
c1489 264 234
c1490 324 247
c1491 264 206
c1492 284 275
c1493 304 294
c1494 232 247
c1495 232 261
c1496 304 283
c1497 368 278
c1498 284 278
c1499 296 0
c1500 348 51
c1501 316 27
c1502 296 9
c1503 316 45
c1504 316 15
c1505 296 48
c1506 244 48
c1507 316 21
c1508 296 39
c1509 296 90
c1510 296 6
c1511 296 51
c1512 244 96
c1513 392 90
c1514 316 69
c1515 316 119
c1516 276 60
c1517 348 124
c1518 276 66
c1519 392 72
c1520 392 111
c1521 316 134
c1522 348 157
c1523 392 102
c1524 276 108
c1525 348 178
c1526 348 111
c1527 276 87
c1528 348 166
c1529 316 122
c1530 276 123
c1531 276 90
c1532 348 121
c1533 316 166
c1534 276 213
c1535 316 153
c1536 276 102
c1537 316 163
c1538 392 182
c1539 276 228
c1540 296 191
c1541 244 297
c1542 212 212
c1543 392 221
c1544 348 213
c1545 296 229
c1546 276 231
c1547 244 228
c1548 296 279
c1549 276 264
c1550 296 276
c1551 244 273
c1552 392 285
c1553 296 249
c1554 316 248
c1555 348 259
c1556 276 294
c1557 296 297
c1558 296 261
c1559 392 117
c1560 392 15
c1561 316 33
c1562 276 0
c1563 316 3
c1564 296 33
c1565 316 36
c1566 296 3
c1567 276 33
c1568 276 42
c1569 296 99
c1570 348 54
c1571 244 90
c1572 276 51
c1573 296 69
c1574 276 78
c1575 296 75
c1576 348 127
c1577 296 114
c1578 348 89
c1579 316 127
c1580 392 144
c1581 348 63
c1582 348 116
c1583 276 141
c1584 392 81
c1585 296 108
c1586 296 150
c1587 316 97
c1588 348 136
c1589 296 141
c1590 348 184
c1591 276 186
c1592 296 252
c1593 348 169
c1594 392 167
c1595 296 205
c1596 348 231
c1597 348 181
c1598 316 178
c1599 276 198
c1600 348 187
c1601 212 170
c1602 348 190
c1603 392 206
c1604 276 222
c1605 276 207
c1606 276 258
c1607 316 210
c1608 244 261
c1609 316 222
c1610 348 262
c1611 244 264
c1612 348 244
c1613 348 271
c1614 392 273
c1615 296 285
c1616 392 267
c1617 316 294
c1618 304 12
c1619 284 0
c1620 264 42
c1621 304 38
c1622 356 40
c1623 336 57
c1624 380 0
c1625 324 84
c1626 380 72
c1627 324 90
c1628 324 45
c1629 356 127
c1630 336 34
c1631 264 118
c1632 264 97
c1633 232 111
c1634 304 108
c1635 380 109
c1636 304 154
c1637 304 114
c1638 356 113
c1639 356 202
c1640 324 167
c1641 380 155
c1642 380 175
c1643 304 148
c1644 324 115
c1645 380 163
c1646 336 202
c1647 284 203
c1648 380 207
c1649 284 219
c1650 304 172
c1651 356 180
c1652 304 250
c1653 304 266
c1654 336 256
c1655 336 231
c1656 324 220
c1657 232 255
c1658 264 220
c1659 324 286
c1660 264 270
c1661 356 285
c1662 368 247
c1663 264 -6
c1664 356 11
c1665 368 -19
c1666 336 12
c1667 380 103
c1668 356 28
c1669 356 49
c1670 324 17
c1671 324 20
c1672 380 115
c1673 356 57
c1674 380 80
c1675 356 107
c1676 356 121
c1677 356 147
c1678 304 100
c1679 324 29
c1680 336 96
c1681 336 158
c1682 304 131
c1683 380 97
c1684 304 77
c1685 324 37
c1686 324 127
c1687 304 160
c1688 380 129
c1689 368 69
c1690 380 132
c1691 336 210
c1692 336 150
c1693 336 177
c1694 264 152
c1695 324 212
c1696 368 135
c1697 368 88
c1698 324 196
c1699 336 196
c1700 304 186
c1701 380 213
c1702 356 238
c1703 304 236
c1704 304 277
c1705 336 237
c1706 324 280
c1707 304 291
c1708 336 280
c1709 336 286
c1710 368 181
c1711 304 280
c1712 324 294
c1713 316 39
c1714 392 9
c1715 316 9
c1716 392 3
c1717 348 35
c1718 296 66
c1719 348 24
c1720 392 0
c1721 348 47
c1722 316 63
c1723 392 60
c1724 392 87
c1725 316 57
c1726 296 93
c1727 392 21
c1728 392 108
c1729 392 96
c1730 316 93
c1731 348 10
c1732 348 151
c1733 392 148
c1734 392 114
c1735 392 75
c1736 348 139
c1737 348 145
c1738 348 160
c1739 296 156
c1740 316 169
c1741 348 202
c1742 276 150
c1743 392 129
c1744 316 147
c1745 392 172
c1746 392 198
c1747 348 196
c1748 392 161
c1749 348 207
c1750 392 227
c1751 392 209
c1752 392 192
c1753 348 265
c1754 392 242
c1755 276 234
c1756 392 215
c1757 392 279
c1758 348 289
c1759 276 267
c1760 392 291
c1761 392 261
c1762 392 233
c1763 392 297
c1764 380 49
c1765 380 31
c1766 336 0
c1767 304 69
c1768 304 4
c1769 324 72
c1770 336 116
c1771 380 25
c1772 264 89
c1773 380 91
c1774 324 64
c1775 336 93
c1776 336 110
c1777 356 68
c1778 356 141
c1779 368 1
c1780 380 144
c1781 368 66
c1782 304 88
c1783 304 137
c1784 356 93
c1785 336 128
c1786 356 90
c1787 324 176
c1788 380 181
c1789 380 147
c1790 380 178
c1791 304 128
c1792 380 184
c1793 284 156
c1794 324 152
c1795 324 204
c1796 380 198
c1797 336 245
c1798 304 208
c1799 380 210
c1800 356 224
c1801 324 228
c1802 304 219
c1803 368 253
c1804 324 244
c1805 380 249
c1806 324 276
c1807 380 238
c1808 380 292
c1809 380 260
c1810 380 246
c1811 380 269
c1812 356 279
c1813 380 272
c1814 304 297
c1815 324 267
c1816 324 0
c1817 356 34
c1818 380 64
c1819 380 22
c1820 356 43
c1821 380 34
c1822 356 0
c1823 380 88
c1824 380 40
c1825 336 71
c1826 380 138
c1827 336 63
c1828 368 40
c1829 356 177
c1830 356 60
c1831 304 134
c1832 356 99
